de000f37f0	ඒ හැම එකකටම වඩා
de820de9ea	" යනුවෙන් ඔහු සඳහන් කළේය.
de8239a9b3	bac38	ඔය රබර් බැලුමට
de82c33af4	ed3e5	diriya diyani
de82ffb574	be843	අනෙක් විශ්වවිද්‍යාලවල මෙම පීඨය
de83173697	03500	එතැන් සිට ක්‍රමයෙන්
de83343ec1	c5a59	ඔබගේ මේ ලිපියෙන්
de8395d35d	f12ba	ඉතිං ඔයා විශ්වාස කරත් නොකරත් මට ඒක ප්‍රශ්නයක් නෙවෙයි
de83f233cf	4e81e	ඒවගේම මෙහි පසුබිම් සංගීතයත්
de84dca03a	23329	පැතිරෙන්න පටන් ගත්තා
de855d7a2c	23c9f	අසපුව දොරටුව ළඟ ඔහු
de8565b41a	82082	කිසිම දෙයක් කියලා තිබුණෙ නැහැ.
de85d6a2a8	dc245	ප්‍රතිපත්තිමය තීරණය
de86248d7b	781cf	මේ අනුව නිත්‍ය නොවන ධර්ම කෙරෙහි
de869a5418	15cf5	කෙළින්ම කිව නොහැකි බවයි.
de86aecfac	15cf5	මෙබඳු සූත්‍ර විශාල ප්‍රමාණයක්
de86e98ff4	4801b	එම සෙල්ලිපිය සද්ධාවන්ත බෞද්ධ බැතිමතුන්ගේ
de871068c5	7374d	ලෝකයේ සැබෑ ස්වභාවය පිළිබඳව දැනගෙන
de893968a0	2ea36	අද මහජනතාව අතර සාකච්ඡාවට ගන්න
de893be25b	dd6f8	මෙම පුදබිම ඌව පළාතේ මොනරාගල දිස්ත්‍රික්කයෙ
de8a231d6a	f40d9	ආණ්ඩුව ලබන මැතිවරණ ජයග්‍රහණ
de8a3142db	32337	ඒ වගේ ඒවා ඇහුවට පස්සේ
de8a98a349	12204	කිසිම ක්‍රීඩකයෙකුට අයිතියක් නෑ.
de8a9aa635	1afa7	යම් උපක්‍රමයක් මඟින්
de8acc1ed5	1575e	මේ කරුණු අට
de8b081c4f	81570	කන්න ඕනේ මොනවාද කියලා.
de8b2882d0	3b15d	ඇමරිකානු සැකකරුවෙක්.
de8b31242a	5b275	සාමාන්‍ය මී මැස්සා මෙන්
de8b358504	44978	ස්ථාපනය කර ගැනීමයි
de8b6c796e	bac38	සිංහල පද යොදා නිර්මාණය කෙරුණු ගීත ඔහු ගායනා ක‍ළේය
de8b756f7b	7ec98	අලියාගේ සිට අනිකුත් සියලුම සතුන්
de8b9cf576	1a317	පුරන් වූ කෙතකට
de8baeba08	a1577	යහපත් දෙයක් පවා කරන්නේ
de8c3854b9	fe011	එයා අපෙන් තමාය ඇවිත්
de8c41579f	09ecc	එම සිසුහු අසල්වැසි විහාරස්ථාන සමග
de8c6e7bdc	bba51	දකුණු සම්ප්‍රදායේ මහඟු නිදසුනක් වශයෙන්
de8cdd7c5a	ea3c6	game of eight
de8d059a62	0eade	ගේදොර ඉඩකඩම්
de8d13585f	41947	ලස්සනම දුක හිතෙනම එක
de8d2bf313	0eade	දෙනවා කියල තිබුනෙ.
de8da3f058	85aeb	එතුමා නිවැරදි ලෙස ජීවත් වෙන හැටි ලොවටම කියා දුන්නා
de8daaf179	dc1f3	රබර් මුලක් ගලවා දැම්මත්
de8dd6e4fa	95997	මේ නිසා තමයි
de8e2a623b	cf582	අපි කරන්න ඕනෙ
de8ea27e08	21459	එකමත් එක මෙඩිකල් කොලීජියක
de8ecb1f14	df981	දෙකම ඉවරයි දැන්
de8f469c7d	45feb	අද මරණ දඬුවමට නියමවෙලා
de8f7c0a95	11742	බලන්න එතන බිහි වන කෙනා
de905c1fe2	43324	සියනෑ කෝරලේ ඔය වගේ අපූරු තැන්
de907dde31	77895	ඒ පැමිණ ඇත්තේ ද
de90d46ba6	0e1e0	අවසානයේ දිගු සුසුමක්‌ හෙලා
de91155ad6	fc853	බලාගෙන ගියාම
de913bc37b	d0123	ඈත්තටම හිටියද කියලා හිතාගන්න බෑ තමයි
de916d0193	d7784	තමන් විසින් කරමින් සිටින කාරියේ බරපතල කම
de919da221	4b127	ඔලිවර් නගරයට පැනලා යනවා
de919edcb6	67c8b	ගෙදරින් පිටවුණාම පසු
de91d598a6	91589	වෙනස් තැනක පිහිටන්නෙ.
de93b819f1	e3ad7	මට ඉඩ ලැබුණේ ඔයාලා නිසයි.
de940dcaae	85aeb	ඔබට ගෙන එන අවසන් එක.
de94b615c6	781cf	මේක හැබැයි උසාවි නියෝගයක් වගේ
de94b89b63	6a26f	මෙම මුරගල පද්ම බහිරව මුරගල ලෙස හඳුනා ගැනෙන්නේ
de94e6d73d	89f4f	මා වශී කරනට
de94f022f5	be2e9	දෙවියන් ඇති බව
de9514cd35	4b1be	මේවා කියවන මෝඩයෝ නිසා
de9527d5c6	89830	කියන එක නෙවෙයි.
de95f01d88	4a53b	ඔබ සේවය කරන විශ්ව විද්‍යාලයේ පමණක්
de974ae304	d94a9	පිරිමියා ප්‍රබලයා සහ කාන්තාව දුබලයා වේ.
de97614a98	e8724	මේ වගේ පුද්ගලයො පස්සෙ යන්නෙත් නෑ
de97808c83	37790	උබ කියපන් පුන්චි බන්ඩෝ
de9790f84f	13abb	මෙවැනි මිථ්‍යා මතවල
de980a912c	202fc	එළනේ ඔය තියෙන්නේ
de98aa82ad	c1715	ඉන් අනතුරව පොලිසිය හා උද්ගෝෂකයන්
de98d67c20	78366	මෙවැනි බිරිඳක සිටින පුරුෂයෙකු
de98f21fdf	dc1f3	කිව හැක්කේ ඒ අරමුණු දෙස බැලීමේදීය.
de9934b4dc	6fa50	ශ්‍රී ලංකාවට මුළු වසර පුරා
de99607ca7	af4ca	මේ සියල්ල ම පුද්ගලයකුට පහසු වන්නේ
de99847cb5	4f3cd	මේක ඊටත් වඩා පට්ට ඇති
de99fb63f3	0bd84	අපි ආපු ගමන කොයිතරම් දුරද කියල.
de9a167dfc	2a1cd	ලංකා ශාසන ඉතිහාසයේ
de9a40320a	9a1ed	අපි ලේසියෙන් දාගෙන බැලුවට
de9afbf613	cf7b2	ඉදිරිගාමී දර්ශනය
de9bd61152	3062b	කකුල් දෙක පහළට දාගෙන
de9be03907	c2201	සිරිපා සමය ඇරැඹී මුල් මාස තුනය.
de9c7986e0	6c5e8	මෙම රන්දෝලි පෙරහර ගමන් කරන අනුපිළිවෙලක් ද
de9ca6e1d1	45f15	අවනතීන් නිසාවෙන්ම පමණක් නොව
de9dbe853b	7424f	අශ්ව කරත්ත යුරෝපීය මෝටර් රථ
de9de03095	0224d	මම කතා කරල තියනව.
de9e3a9b5d	f2348	එයා කියන්නෙ නැතුව
de9e632394	7ec98	බෞද්ධ දර්ශනයේ තියෙන
de9f19b870	bc55f	වගේ ගතියක් තියෙනවා.
de9f1c3a2c	252fd	දෙමළ ජනයා සමාජවාදය එනතුරු බලා සිටිය යුත්තේ ඇයි?
de9f6256f1	60ae5	ඔබවහන්සේ නම් ඒකාන්තයෙන්ම
dea087b5bd	14f37	දැනුම් දීම
dea08d0077	23c9f	අධිකරණය විසින් විත්තිකාර ප්‍රදීප් කාරියවසම් ට
dea09b2624	0a2fe	කපුගේට ආපු එක විතරයි කියලයි මට මතක.
dea0a555e7	44e28	ඉතාම ස්වල්ප බවයි.
dea0e62541	be173	සෝම හාමුදුරුවන් ඝාතනය කරේ
dea11eff90	c04d5	නීත්‍යනුකූල වෛද්‍යවරුන් විසින් සිදු කරයි.
dea160c420	1ccf9	ඇත්තෙන්ම මේ අය දන ගන්න ඕනේ
dea1d6391b	346c1	විල වටේට හදල තියනවා.
dea2c0be21	93c65	එය ගෙන න ලද්දේ හේම මාලාවගේ
dea39abda1	6e92f	එහෙම කියල තියනවා කියල තියනවා.
dea3f3b486	3e0de	ශිල්පීය දස්කම් දැක්වීම
dea412817a	0a2fe	අවසන සතුටටම හේතුවක් වේවි.
dea4305ee7	b6388	ඔබට හොඳ අනාගතයක් තියෙනවා
dea5055abb	89f4f	යට මහලේ ඉඳලාම දොරවල් වසමින්
dea53c4eb5	91589	එහිදී භාග්‍යවතුන් වහන්සේට පැන්
dea5559b2a	c95d0	නමුත් ඔවුන් සතු දැනුම
dea5b5175e	e61f1	අපි තාම පොඩි අය වෙන්ට එපැයි
dea5e86ff4	78366	සටන් වාර්තා වෙනවා.
dea6393db8	59778	අපත් ඒ කාලේ කරත්තවල
dea75b35ec	5a51f	තමන්ගෙ පින්තූරයත් හදන්න පුළුවන්
dea767d946	0e353	හටගත්ත සෑම දෙයක්ම අනිත්‍යයි කියල නුවණින් විමසනවා
dea7d5117a	84048	ප්‍රතිපදාවක් ලෙස දක්වා තිබෙනවා.
dea82c75bd	cd0b3	හිටි අඩියේම ඇඳට ගොඩවෙන්නට මත්තෙන්
dea82dbde6	a7b6a	පස්වැන්නේ ශිෂ්‍යත්වයට පෙනී සිටින දරුවකුටත් වඩා උනන්දුවෙනි
dea8a10ade	89f4f	ඔබ මේවා බාගෙන
dea8e2d955	d945d	මගෙ අදහස විතරයි මහත්මයා
dea8fe6ba8	be2e9	ආයුර්වේද දෙපාර්තමේන්තුව තීරණය කොට තිබේ
dea95fc23e	06105	අනේ අනේ රාජ් අන්තිමට ඔයා
dea9e45cb2	fd786	ඒක නෙවෙයි බන් මන් මේ බැලුවේ
deaa1199d7	3386d	ඉතා ස්වාධීන වූ කදිම සැලැස්මක් බිහිවිය.
deaa31e37a	7f4b1	වගකීම් දරන්නෙකු නොමැත.
deaa5326ae	2f415	මානව හිතවාදී ක්‍රමයක් අනුගමනය කිරීමෙනි
deaa88421a	c95d0	ඒකනම් ඉතින් සබ්ජෙක්ටිව්.
deaab115d4	1db0f	එවන් සුවයක් සොයා
deaab4e6cc	c6f6b	නැවේ සිටිදෙනක් ගැන
deaae01e87	0eea5	උපාලි විජේවර්ධන වරක් ප්‍රකාශ කළේ ය
deaaf1ead3	23e9e	ඉකුත් වසරේදී එම කිරුළ දිනා ගැනීමට
deab546088	2e800	හමුවීමෙන් ම අහුබුදු සූරීන් මගේ සිත් ඇද ගත්තේය.
deabe7f49b	67c8b	මිනිසත්කමේ වැඩි දියුණුවත් සමගම
deac752230	54242	අහන යාලුවෙක් ඉන්නව මට.
deac7c7eea	3eb66	තමන් කෙල්ලෝ කොල්ලෝ කාලේ
deacb8fd6f	3be3a	දහයක් හරි ඉතුරු වෙනවා.
dead1800c1	b8a97	අයෙ කියන්න දෙයක් නෑ
dead2f80d3	30661	ඒක නිසාම අධ්‍යක්ෂණය කරපු මුල ඉදලම
dead466ff1	3a976	ගණුදෙනු වලින් වාසි ප්‍රයෝජන අත්පත් වන්නේය.
dead5a61a3	8b8a4	මං කෑ ගැහුවා.
deada4b2c9	791e8	රටට ඔබ වැනි නොසැලෙන දේශප්‍රේමියෙකු
deadc21a2b	f3aed	හතර දෙනෙක් සිටිනවා.
deae38322f	be2e9	මමත් බලන් හිටියේ බොහෝම ස්තුතියි
deae7fe6fd	a7708	ලුම්බිණි නම් රාජකුමාරියක නමින්
deaf4f953e	dca20	ධර්මයන්හි නොපිහිටන නොපවතින අයය
deafaf0625	85ebd	මට නම් මේ දවස්වල වේලාව නැති තරම්.
deafeaf745	40a63	අකිල මට සලකපු විදිහ හොඳ නැහැ.
deb03f52a7	41a77	චන්ද්‍රිකා වැඩි වන තරමට
deb08ac85f	c6f6b	තම රටවැසියන් සදහම් මගට යොමු කළහ.
deb092fe73	356c8	දෙපාර්ශවයටම අහිතකර ප්‍රතිඵල
deb156ce2f	85ebd	වෙන නෑදෑයෙක්වත් ඇවිදින්
deb15aff1c	7db06	පළාත් පාලන ඉඳිකිරීම්
deb205998b	6e111	අති දක්ෂ පිරිසක් පුරුදු පුහුණු කරලා
deb31eda0e	95589	ගිහි නම වුවද භාවිතා කළ හැකිය.
deb322070a	8af08	ඔය සන්නස්ගලම
deb3604a7c	96564	තැන්පත් කරමින් වදය
deb3ae69c8	8c558	ජනතාවගේ ප්‍රණාමය.
deb3bcc449	be173	මේවා හොඳ මාතෘකා තමයි.
deb413ea0e	d52f0	නිදහස් කවි යුගයේ
deb43589c8	12204	ඒක අයිති අපේ පවුලට සම්බන්ධ
deb477c3bc	4e81e	අනතුරක් සිදුවී තිබේ.
deb487128d	0766f	එක ජීවිතයක් නිමා වූ පමණින්
deb51ffc9e	c26ed	අවිගත් කණ්ඩායම් වල ඉල්ලීම් වලට
deb520716d	4a724	මහාවංශයෙහි භාෂා විලාශය
deb530e2ea	9f1f5	එක සමාන වූ හසුන් පත් සතරක් සකස් කෙරෙයි.
deb569f2d4	338ff	ඇති වූ ප්‍රබලම ප්‍රකෝප කිරිමේ ක්‍රියාව
deb5999d39	2db87	ස්නෝඩන්ගේ හැසිරීම සම්බන්ධයෙන්
deb620463a	e3235	එසේ ගන්නා සිසුන් හට පෙර දැක්වූ ආකාරයට
deb725df46	f12ba	වගකීම තියෙන්නෙ භික්ෂුන් වහන්සේලාට.
deb7471029	3b15d	බොහෝ විට කෙනෙක් තමන්ට උදව්වක් කළොත් පමණයි,
deb7cfef92	40953	මෙම ලිපියේ ඇත්තේද නැත.
deb8a1423a	f0169	අම්මට නින්ද ගිය නිසා
deb9a26937	ed4c3	අන්න නංඟිල වරද්ද ගත්ත තැන
deb9cb8884	b9dc2	පිළිතුරු දෙනු
deba6ffae8	ddb8f	ඩී අයි ජි අජිත් රෝශන වුනානම්
deba74a648	8957e	මොකද අද මනුෂ්‍ය ලෝකයේ ධර්මය කියන අය ඇත්තෙත් නෑ.
debafad87a	df38e	එයා නොහිටින්න
debb32b92d	45f15	sri lanka hotels in kalutara
debb44cf54	c094f	සංඝ සමාජය ද පවතින්නේ ය.
debb57ab6b	ff39f	ෂෝටි කියනවා
debb7fbd34	93c65	බොහෝම ස්තුතියි ප්‍රිය ඉරෝෂ්
debc0f2d79	03500	ඔවුන්ට පටවන්න හොඳ නෑ කියන එකයි
debc20f25d	fda64	එතැන බිඳවන්න
debc4e4167	00349	කෙනෙක් විය යුතුය
debc6dd8ec	12204	කියන එක නේ ප්‍රශ්නේ.
debcfbe94a	0224d	නම් කරනව
debd21ab10	c26e2	එක ගැනවත් හිතන්නෙ නෑ ඔයා
debd666fbf	c04d5	රජතුමා මෙම දූත පිරිස පැමිණි නැවේ
debd7d7bbc	466d8	සිංහල උපසිරැසි ලබා දීල
debe0c24a8	589b0	waterfalls
debe8bc10e	295d7	බුදු හිමියන් හැඳින්වීම සඳහා
debf1fbd46	663e8	ජීවිත හානි පවා සිදුවිය හැකි බව
debf74e061	a973b	එහිදී ආසියාවට අභිමානයක් වෙමින් නියෝජනය කළ
debfbaf67b	b06d1	ඒවාද සීල සමාධි ප්‍රඥා යටතට යන්නාවූ කරුණුමය.
debfedc94c	78366	මඳක් හෝ ප්‍රමාද නොවිය යුතුය.
dec06f589b	f0098	shalani tharaka
dec0f14a10	8af52	භේදයේ විෂබීජ පනගැන්වෙන බව
dec0f9145d	9094b	මනමේ,
dec16a3261	eae99	එවිට තථාගතයන් වහන්සේ
dec1c3adc8	4a724	එසේ මෙසේ වෙදෙකු නොව
dec2106fe5	f4f83	නමුත් එම ව්‍යාපෘතිවල
dec229e602	c2201	මේ නිසා එතෙක් හිසමත පටවාගෙන තිබූ තෘෂ්ණාව
dec280fe91	e42fe	අනික අප්පේ ඔයා මේ අතීතෙ
dec2840de3	b9679	එයට හේතු වන්නේ
dec295e55a	6996c	ඒ අඹ වනය ඇතුලට ගියා
dec3555ff3	df38e	දෙන්න හොඳ නැද්ද කියල
dec357ed88	ce989	එහෙම ආවේ නැති නිසා
dec359799c	0c839	ඒ හාමුදුරුවෝ කිව්වෙ මොකක්ද කියලා
dec3beafe8	880bc	හොද කන් දෙකකුත් ඕනේ වෙනවා
dec4954409	a360d	ඒත් නීතිය වගේ
dec4c6b2c5	2f415	මෙලෙස ඉදිරිපත් කෙරිණ.
dec545648c	3f57d	අමුඩ ගහපු තාත්තලගේ දරුවන්ට
dec54ab1c0	a7d05	පිරිනමන අයුරු පෙන්නුම් කර
dec6db84bf	ed0c5	හැරී පොටර් කතා මාලාවේ
dec6df64ae	e1e01	අඳුරට ඉඩදී
dec738d431	0a2fe	කමෙන්ට් එකක් දාන්ට හිතෙන විදිහේ
dec7aab0a1	93c65	ලංකාව ඉන්දියාවෙන් තව හැතැප්ම සීයක් විතර
dec84fdf9e	75985	එය මොනරුන් දෙදෙනෙකු හා මුවෙකු දක්වා අඩු කළේ ය.
dec8b98a17	dca20	chaya
dec8d6a6d4	b1a64	microsoft
dec8e06ff4	c5a59	නමුත් ඉන්දියාව තුළ ද
dec91068dc	e47dc	මූලික දැනුම හා ශික්‍ෂණය
dec9120102	82082	අපි දන්නවා දැන් ඉර පායනවා කියලා.
dec9f6407a	016b5	ඇතුල් නොවෙති.
deca2843fa	3f57d	ආගම්වල ඇති පරම සත්‍ය
deca9c12b4	a1577	බොහෝ දෙනකු මුහුණ දෙන ගැටලුවකි.
decab7df28	95997	ධර්ම සංගායනාවක් වහවහාම පැවැත්වීමට
decb7113e5	af4ca	බවද පැවසීය.
decbb0324d	ba1f0	එහෙම බැරි නිසා නේද
decbfd3c4a	bae1a	වර්තමානය දරුණු ඉරණමකට පත්වීමට කරුණු ඇති වෙනවා.
decc2dfb47	2bc1e	update database kaspersky internet security 2013
decc6eb281	1afa7	මේඅතර ඇතමුන් දැනුමේ දියුණුව
decc9541b3	7374d	මට නියෝග කළා
deccb7a794	c4922	අපේ රටවල් වලට ආපු බටහිරයින්.
decd0d3123	f3204	අලුත් එකයි පරණ බයිලා එකයි දෙකම.
decd84c329	1575e	ඔය තියෙන්නේ කරන්න ඕන දේ
decd9a5eb1	f0b2e	සුදුසු පරිසරයක් සකස් කිරීම
decdb35858	252fd	වෙළඳපොළ පුද්ගලීකරණය සහ අධ්‍යාපනය සංගත කළ හැකි
dece82c806	2fff2	එනම්, කිරිවෙහෙර අෂ්ටඵලරුහ බෝධිය සහ
dece8c1b44	17bfd	කැක්කුමක් නැහැ.
decf17bc1e	f2931	එක්සත් ජාතික පක්ෂයේ
decf767f54	43121	මම නිවේදිකාවක් විදිහට සමාජගත වෙනවාට.
decfea8ca6	06105	පෙරදිග සමාජය තුළ
ded05655cd	646e1	අත් කරගත් ප්‍රදේශයේ නව නිවාස ව්‍යාපෘතියක් අරඹන බව
ded121ca83	53c73	එක බුද්ධාන්තර කල්පයකුත් ගෙවිලා
ded13f8d31	b8a97	photoshop cs5 keygen download free
ded1712be0	c8454	අපි මොනවා කිව්වත්
ded187982a	8af08	ඒත් අපේ බිරින්දෑවරුන්ටනම්
ded1d9ad0a	438c8	නොදන්න දේවල් ගොඩක් දැනගත්තා
ded234521e	21138	අද පාර්ලිමේන්තුවේදී නඟන ලද ප්‍රශ්නයකට
ded2bde240	25717	ඉතින් පුංචි කුමාරයාණෙනි
ded3ae34a3	effa6	මහනාහිමියන් ඉතාලියට වැඩමකළ ප්‍රථම අවස්ථාවද මෙයයි.
ded3d05c0a	dc5ef	බෑ නේද අංකල්?
ded3e24dd8	bae1a	ඔබ කිව්ව වගේ කෙටි වුනාට
ded4000321	e9148	අපේ සංස්කෘතිය එක්ක මිශ්‍රවෙලා තියනවනේ
ded46f9126	d6ab0	සටහන් ලියන්නට ඕනෑම පංතියක
ded563ea98	dabc0	මෛත්‍රියක් ඇතිකිරීමට
ded58a5a0a	42cde	වැඩි දුරටත් සඳහන් වේ.
ded5f4c151	f8790	ඔය මාත් එක්ක බෑ කියලා හැලෙන්නේ
ded62f6708	1a1f3	අපේ රටට අපි ආදරෙයි
ded6eae9a2	bc55f	එහෙම දාන්න දුන්නේ නෑ.
ded78139a8	7d7d0	අනේ මට නම් දැන්
ded7a89989	babec	ඔහු කෙරෙහි උපේක්ෂාව පැතිරවිය යුතු ය.
ded83d0e9a	9094b	ඩෙංගු මාරාන්තික ලෙඩක් කියල කියන්නේ නැ නේද?
ded86203b0	a3a6a	අපි තාම පොඩි අය වෙන්ට එපැයි
ded8d55443	1afa7	සුපිරි ගණිකාවන් හා සුපිරි හෝටල්
deda836d4a	7b332	shooting games download
deda8bb85d	fc853	උඹ හරියටම හරි
dedb032946	e6e7b	සිංහල සිංහාසනය සහ ඔටුන්න පිළිබඳ
dedbac603b	e1e01	ඔව් අර කියලා තියෙනවා වගේ
dedbde125c	501f8	බුදුරජාණන් වහන්සේගේ සදහම් පදය
dedc6710cf	b136f	මිදිය යුතු යැයි සිතා
dedc6ba5ce	ad58a	කඩන පුද්ගලයන්ට නිසි දඬුවම් පැනවීමයි
dedc8f61c2	fc710	හැබැයි ඊට කලින්
dedde501b2	34e56	මේ මේ තැන් වලට දාන්නද කියලා.
dedf0cefc6	e0b70	මේ කුමන ශානරයකට ද?
dedfe5a4ab	6f51b	අර ගෑණු ළමයා දිහා
dee0077e15	fd8a1	හැම පැත්තෙන්ම චෝදනා ගලා ගෙන එද්දී
dee0350b6b	0bd84	දමාගෙන යන්න.
dee0881840	3062b	වම් පස සන්තුසිත දිව්‍යරාජයා නිරූපණය කොට ඇත
dee09948f2	655f4	පරිහානියට ගිහිල්ල තියන අවස්ථාවක
dee0b38f9c	0766f	මේ වගේ සින්දු ලියැවෙනවා
dee0d3cddd	c2201	ඒවායේ තව මාසයක් ඇතුළත
dee213b0df	7d982	එහෙත් පැමිණිලිකරුවන් ඉදිරිපත් කරන චෝදනා
dee2b646f5	7b561	එලෙස සකස් කරන ලද බේකන්
dee2c8c501	44e28	පියවරුන්ගේ වෛරය බලාපොරොත්තුවකටත්
dee2e72162	a7708	එදා කරත්තෙන් ගිය ගමන
dee45fbe58	2fff2	වැඩි වන්නේය.
dee4b4c329	39029	මගේ ඉක්මන් සිතිවිල්ල වුනා.
dee51beec4	c34c2	බොහෝ පාඩම් අපට කියාදෙයි
dee55ae91c	791e8	මේ ස්ත්‍රී පුරුෂ බඳු
dee5633342	d4fa9	satalite tv system in sri lanka
dee5c1e20f	0e86b	බෞද්ධයාට ඇති උතුම් දායාදයකි
dee61a8b11	cf582	දෙන්නගෙ වැඩ කොහොමද කියල.
dee62a59d1	85ebd	ඔයාලගේ අප්ඩේට්ස් එහෙමත් වැටෙනවා.
dee6308262	dc5ef	ඔලුවෙ කැක්කුමක් හැදිලා
dee674375f	41947	දෙවියෙකුට වගේ තමයි සැලකුවේ
dee6c69c90	03500	ලෞකික කරුණු සම්බන්ධයෙන් අදහස් දැක්වීමට
dee7613db5	babec	නමුත් ජීවනෝපායට දෙවියන් දුන් තෑග්ගක් යැයි
dee76d26b7	80862	උපාසක පින්වතා
dee7ac12d4	4b5d0	එය පරිස්සමින් පරිහරණය කිරීම
dee895ba1e	effa6	අපේ නැන්දම්ම
dee9469c7a	349a2	සන්නිවේදන භාෂාවක් වශයෙන්
dee95053ac	2db87	නමුත් බොහෝ අය
dee961f515	d9b9c	දැන් සිනමාවේ රඟපෑමට වරම් ලැබී තිබෙනවා.
dee9974b82	1db0f	මේ සමාගමට එරෙහි ව නඩු පවරන ලදී
dee9d3d9f9	d23af	ampara
deea20120f	7ec98	බලාගෙන හිටියා.
deea2b027a	2a845	එහෙමද  පලමු ගොබිලාගේ"
deea58f2a2	බුදුන්වහන්සේ විසින්ම සහතික කොට ඇත.
deea8bc838	විදුලිය උත්පාදනය වෙනව.
deea901e5a	mango
deeab0c0b3	අනෙක් අයගෙන් ලැබුණු සහයෝගය?
deeb44331d	ගීත රචනා
deebcdf4f4	ප්‍රගතිශීලී ආයතනයක් නොවේ.
deebd625aa	එම දිය ඇල්ලට උඩින්
deec67872e	අලිමිනිස් ගැටුම් අවම කිරීමට
deecee4608	ගිලී ගිය නෞකාවේ
deecff80af	නමුත් එය යථාර්ථයක් බවට පත්කිරීමට
deed3a975e	දිග වුනා නම් යැයි සිතවමින්
deedc4cd99	hiru top 20
deede345ec	ඉතින් දුප්පත් කෙනෙක්ට බණක් බාර අරගෙන කරන්න බැහැ
deee280934	මුල්ම උප සිරැසියට ස්තූතියි.
deee5eaa18	අපි සිහිනෙන් වත් දකින්නට අකමැති
deee8a37ba	තාම මේකේ
deeebbd4eb	මේ පිළිබඳව
def005dd82	උපන් දින තෑග්ගක් ලෙස
def09ab3f5	බෞද්ධ පරිසරය රැකගනිමින් ලියා ඇත.
def1305178	ගුරා අයියේ
def14736c2	එහෙත් අවසන් භාගය වනවිට
def17afbf8	අං කෙළි උත්සවයෙන් පසු
def206cf0b	පහදා දෙන්න.
def2155bf9	රටේ ජනතාවට ඇතිවන බලපෑම අවම කරගැනීම සඳහාය
def22bf244	එත් පරක්කු වෙලා හරි
def2508da5	ගුද මාර්ගයේ බඩවැල එළියට පැමිණේ.
def2a41584	බුදුරජාණන් වහන්සේ අත්තුපනායික ධම්මපරියාය
def2d232db	මේ නිසාම හේතු ප්‍රත්‍ය බිඳීයාමෙන්
def34c4c31	හැමෝම හිතුවේ
def37c85a8	කොස්ගලවත්තේ අක්කර දාසයක කොටසක අයිතිය
def391bd67	ඔබත් මමත් දීර්ඝ සසර ගමනක් ඒ ගෙවාගෙන ආවෙ.
def3e42338	ඔබ නොදන්නා ඕන තරම් ඉන්නවා
def45256fb	විෂය වෙන්නේ නැහැ.
def4555031	මියගිය තැනැත්තිය අවතාරයක් වූවා
def46584c0	බෝසතුන් ආර්ය පර්යේෂණය සඳහා
def5f6f378	මෙසේ පොඩි පොඩි තොරතුරු
def6e5f53e	ඊයේ උන සිද්දිය අල්ලලා
def7335853	මහ පොළොවෙන් නියපොත්තට පස් ටිකක් ගත්තාම
def78e2a73	තමයි කටයුතු කරන්නේ
def7f82405	එකිනෙකට වෙනස්.
def8008a0f	යුද්ධ සේනාවක් සමග
def835e703	අනේ ආයෙ ඕපන් කරනකොට
def8e704d7	අපේ විජේසේකර එක පුරුදු උනා
def9481d17	මාර හදිස්සියක් තිබ්බේ
def94cae03	රට දෙකඩ වීමට ඇති අවස්ථාවන්
def999ec88	හැබැයි ඒ වීඩියෝ පටය
defa454542	පුණ්‍ය කාලයේ දී ආගමික ස්ථානයකට ගොස්
defa5620ad	පැවසූ පද්මසිරි මහතා
defabea11b	උදේ අවදිව බලන විටත්
defb24b87a	ස්තූතියි අයියේ
defc0e15b9	යන්ත්‍ර පැළැදීමේ සිට මන්ත්‍ර ගුරුකම් කිරීම ආදි
defc75a724	මහා අවජාතක වැඩක්.
defce24265	එවිට භාග්‍යවතුන් වහන්සේ භික්ෂු සංඝයා ත් සමඟ
defd922944	ප්‍රකම්පිත නොවෙති.
defde5ada8	ඒක නිසා බොහොම ස්තුතියි
defe5d6dc0	යනුවෙන් පිටක තුනක් බව ඔබ දනී.
defeb74948	මිත්තණිය ඔහු රැක බලා ගනියි
defeed735f	මේක උණු උණුවේම ගෙනාවට.
defef18d4e	මොකද්ද මේ
deff10167f	මිත්තානිසංස සූත්‍රය ද මෙත්තාව පිළිබඳ වූ,
deffa50499	මේක පරිගණක හරහා එල්ල වන ප්‍රහාරයක්.
defff3156b	ප්‍රායෝගික ක්‍රම භාවිතා කර
